city_name,country,city_lat,city_lon,population,max_temp_ctrl,max_temp_ssp,temp_diff,timestamp_ctrl,timestamp_ssp,time_idx_ctrl,time_idx_ssp,cell_idx_ctrl,cell_idx_ssp,lat_ctrl,lon_ctrl,lat_ssp,lon_ssp,continent
Bugt,China,48.7838039,121.9333736,17457,33.9772888183594,43.4326110839844,9.455322265625,1956-07-05T06:00:00.000000000,2090-07-14T06:00:00.000000000,19017,30777,698141,698141,48.752197265625,121.97969818115234,48.752197265625,121.97969818115234,Asia
Sioux Falls,United States of America,43.549989,-96.7299978,155724,39.5512634277344,50.59865722656252,11.047393798828123,1968-08-18T21:00:00.000000000,2090-08-12T21:00:00.000000000,54438,31014,882367,887687,43.620384216308594,263.3584289550781,43.47978973388672,263.10809326171875,North America
Sopore,India,34.2999593,74.4666585,63035,35.2473083496094,44.36214599609377,9.114837646484377,1951-07-31T09:00:00.000000000,2089-06-17T09:00:00.000000000,4610,27642,1269443,1269444,34.27064895629883,74.41656494140625,34.27064895629883,74.52948760986328,Asia
Itacoatiara,Brazil,-3.1400293,-58.4399836,51509,32.80758056640627,44.6680847167969,11.860504150390623,1951-09-21T18:00:00.000000000,2090-10-27T18:00:00.000000000,5029,31621,3526194,3526195,-3.1282951831817627,301.5,-3.1282951831817627,301.57257080078125,South America
Shizuoka,Japan,34.9858348,138.3853926,701561,33.21853027343752,40.14016113281252,6.921630859375,1950-09-07T03:00:00.000000000,2080-07-31T06:00:00.000000000,1992,1697,1235188,1238333,35.04393768310547,138.32061767578125,34.973636627197266,138.25921630859375,Asia
Matočkin Šar,Russia,73.2699916,56.4496968,10,12.574273681640648,30.080102539062523,17.505828857421875,1963-07-18T12:00:00.000000000,2088-07-09T12:00:00.000000000,39571,24899,116756,117724,73.28646087646484,56.528926849365234,73.2161636352539,56.296295166015625,Europe
Huatabampo,Mexico,26.8304153,-109.6300373,30426,37.51381835937502,46.5362487792969,9.022430419921877,1965-06-28T18:00:00.000000000,2092-07-11T18:00:00.000000000,45261,36605,1627874,1627874,26.889278411865234,250.44346618652344,26.889278411865234,250.44346618652344,North America
Kotabumi,Indonesia,-4.8333109,104.8999947,42366,31.33175048828128,41.19906005859377,9.867309570312496,1967-10-25T06:00:00.000000000,2090-11-11T06:00:00.000000000,52049,31737,3646256,3641393,-4.885764598846436,104.88888549804688,-4.815465450286865,104.87664794921876,Asia
Islamabad,Pakistan,33.689368483707085,73.08063017764825,780000,44.8853698730469,53.51519165039065,8.62982177734375,1951-07-12T09:00:00.000000000,2090-06-14T09:00:00.000000000,4458,30538,1301500,1301500,33.56766128540039,73.15985107421875,33.56766128540039,73.15985107421875,Asia
Jalingo,Nigeria,8.9003727,11.3600195,117757,39.76616821289065,47.33919677734377,7.573028564453125,1950-03-06T15:00:00.000000000,2091-03-10T15:00:00.000000000,516,32692,2675089,2675089,8.963092803955078,11.279170036315918,8.963092803955078,11.279170036315918,Africa
